attack,defence,n_total,n_clean_retained,original_full_undefended_asr,paired_undefended_asr,paired_undefended_ci_low,paired_undefended_ci_high,paired_defended_asr,paired_defended_ci_low,paired_defended_ci_high,asr_reduction,asr_reduction_ci_low,asr_reduction_ci_high,asr_reduction_pp,asr_reduction_ci_low_pp,asr_reduction_ci_high_pp,clean_retention,clean_retention_ci_low,clean_retention_ci_high,attack_detection_rate,attack_detection_ci_low,attack_detection_ci_high,attack_block_rate,attack_block_ci_low,attack_block_ci_high,reencode_rate,reencode_ci_low,reencode_ci_high,median_attack_defence_latency_ms,mean_attack_defence_latency_ms
unicode_homoglyph,unicode_sanitise,156,156,0.8589743589743589,0.8589743589743589,0.8012820512820513,0.9102564102564102,0.8589743589743589,0.8012820512820513,0.9102564102564102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17189999925903976,0.36573717942444955
unicode_homoglyph,nfkc_confusable,156,156,0.8589743589743589,0.8589743589743589,0.8012820512820513,0.9102564102564102,0.0,0.0,0.0,0.8589743589743589,0.8012820512820513,0.9102564102564102,85.8974358974359,80.12820512820514,91.02564102564102,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13214999853516923,0.30237115396840425
unicode_homoglyph,cpt_global,156,149,0.8589743589743589,0.8590604026845637,0.7986577181208053,0.912751677852349,0.697986577181208,0.6241610738255033,0.7718120805369127,0.1610738255033557,0.10738255033557043,0.2214765100671141,16.10738255033557,10.738255033557042,22.14765100671141,0.9551282051282052,0.9230769230769231,0.9871794871794872,0.1987179487179487,0.1346153846153846,0.26282051282051283,0.1987179487179487,0.14102564102564102,0.26282051282051283,0.0,0.0,0.0,0.2452999997331062,0.44447628193339395
unicode_homoglyph,cpt_window,156,151,0.8589743589743589,0.8675496688741722,0.8145695364238411,0.9205298013245033,0.8609271523178808,0.8013245033112583,0.9139072847682119,0.0066225165562914245,0.0,0.019867549668874163,0.6622516556291425,0.0,1.9867549668874163,0.967948717948718,0.9358974358974359,0.9935897435897436,0.04487179487179487,0.01282051282051282,0.07692307692307693,0.04487179487179487,0.01282051282051282,0.08333333333333333,0.0,0.0,0.0,0.24510000002919696,0.4817269230513305
unicode_invisible,tokenizer_translation,156,127,0.0,0.0,0.0,0.0,0.13385826771653545,0.07874015748031496,0.1968503937007874,-0.13385826771653545,-0.1968503937007874,-0.07874015748031496,-13.385826771653544,-19.68503937007874,-7.874015748031496,0.8141025641025641,0.75,0.8717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40795000131765846,0.8258211539727293
unicode_invisible,canonical_reject,156,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13770000077784061,0.24918525643722836
unicode_invisible,canonical_replace,156,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12194999908388121,0.23226923064775734
unicode_invisible,unicode_sanitise,156,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573500012455042,0.3033173078830049
unicode_invisible,nfkc_confusable,156,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1379499990434851,0.2600647436944807
unicode_invisible,cpt_global,156,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9551282051282052,0.9230769230769231,0.9871794871794872,0.01282051282051282,0.0,0.03205128205128205,0.01282051282051282,0.0,0.03205128205128205,0.0,0.0,0.0,0.215050000406336,0.3813730769625414
